4233 4243
3435 2386 12
955 771 14
1049 2237 13
3875 2684 7
1681 2566 11
1952 2109 20
2554 1000 20
3922 2986 14
733 603 9
3980 566 20
2676 3100 14
1616 2565 11
3463 2126 9
3432 3351 12
237 1341 16
2222 3324 15
3837 605 8
2507 3613 14
2170 3529 5
1940 3727 15
2230 1023 15
4048 1138 7
4022 4203 20
1438 3983 14
2525 4011 9
1944 4115 14
3465 2755 20
3080 1161 20
1648 2211 11
3532 373 16
2244 1939 18
4232 1328 13
3176 4172 14
912 3038 20
2817 3198 7
1752 4106 18
4167 4188 19
1086 1015 13
2934 3958 5
55 2323 15
3774 1302 10
3070 2395 8
1377 440 9
890 3881 8
1750 565 13
0 2514 11
3170 2551 16
3451 708 6
79 3079 13
1420 4047 14
4145 844 12
2422 1992 8
2152 2556 12
3545 2438 17
328 3439 20
2036 2089 11
2608 2820 14
1250 4184 14
768 48 9
2645 3629 18
1959 2692 10
4053 284 11
603 3019 11
924 2665 7
1443 2155 19
1113 3188 17
1021 4155 5
1140 850 20
3301 1723 7
321 1600 11
1512 894 7
765 2714 11
2041 2642 7
618 843 18
2839 1342 11
109 3243 18
3863 3033 19
2179 820 11
3202 3444 12
4112 3713 5
2479 3666 18
4228 2652 17
683 3438 14
3802 3886 10
3979 4141 9
282 2300 6
1154 1252 17
868 2198 17
950 725 5
435 2247 9
3592 1652 10
1011 663 17
2949 1633 11
3561 3605 11
1661 3349 9
2726 1712 6
3510 2873 20
2526 3323 5
4198 3193 7
1548 3632 19
2973 4198 20
2015 3303 12
2425 3118 16
3395 1787 14
2143 828 7
880 2474 10
3026 4020 20
3771 4148 16
1803 459 14
3374 21 14
730 1182 16
3998 3043 6
484 2427 6
2770 361 16
3134 839 13
845 590 18
3087 1691 5
1441 1280 19
2040 576 19
1617 1336 13
3158 4091 19
3250 3947 11
391 3300 18
3326 3736 6
3411 4174 11
3514 2279 13
327 398 39
711 675 12
2493 120 20
598 3739 5
3175 1465 18
124 1419 13
1587 4179 12
3234 3267 6
399 168 19
4108 2520 6
430 836 17
789 4119 7
3040 477 5
479 490 11
2383 3112 16
3342 1117 17
2903 2355 5
3165 2728 8
1649 2554 10
745 194 8
3064 2004 20
2701 3152 13
1545 185 10
417 1870 7
2352 25 19
637 3422 13
2914 706 6
654 3415 10
2786 433 20
99 3702 16
681 3108 8
1122 506 11
2130 146 5
746 2034 17
2146 2098 5
2191 2375 17
852 3994 15
408 3287 13
1884 3916 7
728 3245 12
108 2519 19
247 2795 5
1540 2710 7
4133 690 13
3180 2913 9
879 592 20
1897 3127 6
2824 1694 11
1769 1654 15
2737 743 11
3617 153 12
4020 2404 13
1507 1881 18
4199 1826 15
4018 1730 10
155 3114 14
808 2393 20
3151 3067 13
2851 2187 19
1378 4080 5
530 195 15
1514 1988 10
267 0 18
1052 3370 12
2459 3602 7
3914 1926 19
1662 2220 15
3091 2629 11
2863 467 12
307 1726 8
2956 293 5
2501 315 14
1696 1681 10
1911 2727 20
1192 1651 7
3567 3393 17
2541 2601 11
3555 2294 20
3579 1386 11
3838 2248 8
2476 3630 8
523 2911 7
3498 4004 19
524 141 6
2429 1061 13
588 3362 17
1625 3277 17
1632 785 18
3735 220 7
4142 3780 20
1409 3319 15
89 91 6
3849 1274 10
3604 4124 6
1253 1996 66609
2713 3785 8
2900 3885 13
1184 382 16
1415 797 7
2875 3192 6
1624 4149 15
700 3212 11
2267 2239 9
817 2262 12
3316 243 18
838 206 11
3677 1557 5
3966 2154 19
965 1054 20
497 880 8
3302 834 11
4078 792 13
3648 1212 6
1453 458 7
2075 2971 13
949 931 8
54 1489 20
3481 3514 11
4175 2424 15
4029 1070 16
897 982 15
2745 1528 13
2167 3677 17
158 889 18
2023 2426 13
1237 2577 6
2818 2759 19
532 2367 11
2420 337 13
1256 3505 12
2952 1147 15
664 2596 17
1958 2924 20
72 2934 13
3102 499 15
679 4084 11
239 4013 13
1277 4081 16
22 139 10
596 2208 11
32 3146 13
1652 1952 13
3466 910 17
2400 3328 16
2504 2683 10
1770 2075 16
3203 2704 10
3078 217 14
920 1688 11
952 69 7
970 622 14
1824 2485 15
92 2013 14
2983 1820 9
3746 252 10
2363 740 14
125 2876 17
1442 1751 20
2831 2452 8
1964 3765 5
1690 2445 18
1565 1228 17
4027 2612 7
670 309 6
3972 420 16
3086 4052 18
445 4123 11
291 2659 8
2879 1643 6
2049 305 10
3208 2624 9
3324 3645 9
884 1352 5
3380 3307 17
1472 1101 18
2743 1910 7
1605 3251 7
3069 3932 10
49 3154 7
3364 4136 18
3282 2502 5
3424 1185 7
2660 452 5
2255 3522 19
1949 3407 20
1839 1269 17
3306 2711 14
1489 413 9
892 3487 13
788 1704 14
210 1303 11
959 3954 20
2957 578 14
84 428 7
2498 1534 17
3349 1265 15
648 3829 19
1334 3194 5
594 1777 6
976 1034 20
2201 178 15
3538 343 14
1516 1896 11
3632 1527 20
4101 3517 14
2684 3321 5
1476 2487 14
3100 2003 9
977 1911 17
774 2490 6
544 4229 14
3427 2568 9
1801 2021 5
3181 1316 19
1449 4212 18
2694 1929 16
3611 1405 11
3381 3140 18
37 1659 12
3246 3484 19
465 582 6
3763 3979 7
390 1825 15
2885 390 6
720 2085 20
2221 3259 16
974 54 18
316 1769 19
151 395 11
1629 244 19
1891 2605 13
4126 2313 20
2219 699 17
2245 4073 19
2014 2148 10
3033 2965 5
3419 991 10
3816 1399 6
3697 3859 8
682 3376 6
3393 998 9
1089 4215 11
1137 275 17
3626 1042 19
2915 116 14
3396 3315 18
2384 855 12
1787 278 18
336 1790 15
2920 2734 18
4183 3638 20
4106 1957 9
2641 3511 11
1251 3711 12
2792 3793 7
1391 2467 7
2999 2078 19
2689 2839 19
1110 2768 5
3799 885 6
1024 1695 8
1601 3309 15
4229 1622 17
2121 2062 7
1104 1721 13
1483 1562 17
3556 2534 8
243 3389 17
1248 876 20
58 1306 5
1994 2255 15
3372 588 16
2597 2442 13
779 806 8
2307 1118 15
388 1124 5
3011 2698 16
1575 950 15
2440 1365 8
4151 2870 10
3082 1917 9
197 615 8
2463 1823 18
3008 246 9
3896 3458 12
2636 1310 14
3348 1597 7
1119 2729 6
2052 3782 16
1786 2059 12
3244 74 12
360 3555 14
4014 3940 13
1361 749 5
1466 3850 12
1980 833 12
3304 2657 11
3800 2587 15
1342 403 12
943 518 5
2749 2575 19
2349 1267 17
986 3789 12
3183 3673 12
3333 801 6
1271 360 11
3405 4228 15
2338 4181 20
3320 3145 12
3537 2325 10
53 3166 7
1357 1044 11
384 2074 11
5 2407 12
3035 1372 19
2666 3095 11
2834 2724 14
4069 1932 8
2695 3745 18
1780 3844 18
823 3553 9
483 722 8
2671 4161 20
2275 32 13
4082 2626 8
2125 3147 10
1517 3049 17
220 1773 9
2989 2284 17
1792 2216 5
960 3471 11
2484 1512 19
1198 3373 12
3870 503 9
1333 1818 18
2197 4006 8
2193 1607 18
2256 4151 19
3599 3365 18
3726 3866 19
1783 1546 8
4200 3873 20
4189 3862 17
888 1507 5
1397 3490 11
1355 627 9
2406 1449 6
3661 2680 14
756 3435 15
1221 3970 15
175 650 18
2733 2589 19
429 535 17
2652 4145 8
3249 1890 14
2729 2165 13
781 825 8
94 3087 8
2968 671 13
35 167 9
1282 778 11
1023 3608 20
1637 3607 5
2598 727 18
1692 3981 18
3431 4018 18
287 1707 10
934 2057 20
3929 1007 10
2663 1755 5
1008 27 8
2487 635 11
2763 1916 15
4006 3440 5
638 2091 18
3616 845 18
3607 2343 19
1133 1782 12
749 905 8
735 570 19
3894 2791 18
1646 3779 9
